Title,Venue,Year published,Type of Paper,SE Problem,Data-Scale,SE Data,[data] Code,[data] Repo Metadata,[data] I/O Examples,Data Preprocessing,[pre] Tokenization,[pre] Neural Embedding,[pre] I/O Vectors,Learning Type,Architectures,Tuning,Learning Algorithm,Loss Function,Metrics,[metric] Coverage & Proportions,[metric] Ranking,[metric] Alignment Score,[metric] Approx Error,[metric] ROC or AUC,[metric] Accuracy,[metric] Precision,[metric] Recall,[metric] F1,Novel Automation,Exploratory Data Analysis,Occam's Razor,Missing Learning Elements,Combat Overfitting,[over] hyper-tuning,[over] custom,[over] Data Augmentation,[over] Data Balancing,[over] Cross-Validation,[over] Early Stop,[over] Data Cleaning,[over] Dropout,[over] L# Regularization,[over] Large Dataset,Replicability,Reproducible,[repro] Learning Algorithm,[repro] Loss Function,[repro] Hyperparameters,[repro] TVT Details Missing,[repro] Embedding Details,[repro] Regularization ,[repro] EDA,[repro] Extraction Details,[repro] Missing Filtering Details,[repro] No Repo
Image-to-markup generation with coarse-to-fine attention,ICML,2017,Technical,Image2Structure,Thousands,Vision,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,CNN,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,Max Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,Razor,no-miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Improving Automatic Source Code Summarization via Deep Reinforcement Learning,ASE,2018,Technical,Source Code Summarization,Millions,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,MSE,Distance-Based,non-cover,non-rank,alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,pretraining,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
Improving Neural Program Synthesis with Inferred Execution Traces,NIPS,2018,Technical,Program Synthesis,Thousands,I/O,non-Code,non-RepoMeta,I/O,Dual-process,non-Tokenization,CNN,I/O Vectors,supervised,RNN,No Tunning,Gradient Descent,Max Log Likelihood,Dual-metric,non-cover,Top K,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,no-Razor,no-miss-learning,gradient-clipping,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,ExDe,repro-Filter,NoRepo
Latent attention for if-then program synthesis,NIPS,2016,Technical,Program Synthesis,Thousands,Dual-data,Program,non-RepoMeta,I/O,One Hot,non-Tokenization,RNN,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,Razor,no-miss-learning,l-regularization,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,over-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,repro-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,NoRepo
Learn&Fuzz: Machine learning for input fuzzing,ASE,2017,Technical,Software Testing,Thousands,Natural,non-Code,non-RepoMeta,non-I/O,PDF Vector,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,Grid Search,CFGLA,Unsupervised-Loss,Coverage & Proportions,Coverage-Based,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,no-Razor,miss-learning,hyper-tuning,over-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,NoRepo
Learning a dual-language vector space for domain-specific cross-lingual question retrieval,ASE,2016,Technical,Developer Forum Analysis,Thousands,Natural,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,CNN,Grid Search,Gradient Descent,MSE,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,no-EDA,Razor,no-miss-learning,l-regularization,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,over-regularization,non-o-large,replicable,non-Reprod,LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Learning Libraries of Subroutines for Neurally–Guided Bayesian Program Induction,NIPS,2018,Journal,Program Synthesis,Hundreds,I/O,non-Code,non-RepoMeta,I/O,I/O Vectors,non-Tokenization,non-NeuralEmb,I/O Vectors,supervised,RNN,No Tunning,Gradient Descent,Cross-entropy,Timing,Solved Tasks,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Solving Previously Unsolvable Problems,no-EDA,Razor,no-miss-learning,cleaning,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,over-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,repro-loss,Hyper,non-tvt,repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,NoRepo
Learning loop invariants for program verification,NIPS,2018,Journal,Software Testing,Hundreds,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Dual-token,non-NeuralEmb,non-IOVect,reinforcement,GNN,Custom-Manual-Empirical,Reward Policy,Actor Critic,Coverage & Proportions,Solved Tasks,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Solving Previously Unsolvable Problems,no-EDA,Razor,no-miss-learning,pretraining,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,non-repro-regul,repro-EDA,ExDe,repro-Filter,non-NoRepo
Learning program embeddings to propagate feedback on student code,ICML,2015,Technical,Code Comprehension,Thousands,Code,Snippets,non-RepoMeta,non-I/O,Execution Trace,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,Random Search,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Replacing Expertise,EDA,Razor,no-miss-learning,l-regularization,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,over-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
Learning to align the source code to the compiled object code,ICML,2017,Technical,Code Comprehension,Thousands,Code,Snippets,non-RepoMeta,non-I/O,Dual-process,Raw Code,RNN,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,Negative Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,no-Razor,no-miss-learning,data-augmentation,non-o-tuning,non-o-custom,data-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Learning to infer graphics programs from hand-drawn images,NIPS,2018,Journal,Program Synthesis,Thousands,Vision,non-Code,non-RepoMeta,non-I/O,I/O Vectors,non-Tokenization,non-NeuralEmb,I/O Vectors,supervised,CNN,No Tunning,Gradient Ascent,Surrogate Likelihood,Timing,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,no-Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,repro-embed,repro-regularization,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Learning to Predict Severity of Software Vulnerability Using Only Vulnerability Description,ICSME,2017,Journal,Software Security,Thousands,Natural,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,CNN,Grid Search,Gradient Descent,Hinge Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,F1,Replacing Expertise,EDA,no-Razor,no-miss-learning,over-dual,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,over-regularization,non-o-large,replicable,non-Reprod,LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
Learning to repair software vulnerabilities with generative adversarial networks,NIPS,2018,Journal,Program Repair,Thousands,Code,Dual-code,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,unsupervised,GANs,Custom-Manual-Empirical,Gradient Descent,Unsupervised-Loss,Dual-metric,non-cover,non-rank,alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Replacing Expertise,no-EDA,Razor,no-miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Learning to represent programs with graphs,ICLR,2018,Journal,Code Comprehension,Tens,Code,Program,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,GNN,No Tunning,N/A-Learning,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Replacing Expertise,EDA,Razor,miss-learning,dropout,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,ExDe,non-Filter,non-NoRepo
Leveraging grammar and reinforcement learning for neural program synthesis,ICLR,2018,Technical,Program Synthesis,Thousands,Karel DSL,non-Code,non-RepoMeta,I/O,Dual-process,non-Tokenization,CNN,I/O Vectors,reinforcement,RNN,Grid Search,Gradient Descent,Max Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,Razor,no-miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,non-repro-regul,repro-EDA,ExDe,repro-Filter,NoRepo
Machine Learning-Based Prototyping of Graphical User Interfaces for Mobile Apps,TSE,2018,Journal,Image2Structure,Hundreds,Vision,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,CNN,non-IOVect,supervised,CNN,Custom-Manual-Empirical,Gradient Descent,MSE,Classification,non-cover,Top K,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,data-augmentation,non-o-tuning,non-o-custom,data-augmentation,over-balancing,non-cross-val,early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Making neural programming architectures generalize via recursion,ICLR,2017,Journal,Program Synthesis,Hundreds,Execution Traces,non-Code,non-RepoMeta,non-I/O,Execution Trace,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,no-Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,repro-embed,repro-regularization,repro-EDA,non-ExDe,repro-Filter,NoRepo
Maybe Deep Neural Networks are the Best Choice for Modeling Source Code,ArXiv,2019,Technical,Souce Code Generation,Thousands,Code,Snippets,non-RepoMeta,non-I/O,BPE,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,Grid Search,Gradient Descent,Cross-entropy,Ranking,non-cover,MRR,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Open Vocabulary Issue,EDA,Razor,no-miss-learning,over-dual,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,over-cleaning,over-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Memory Augmented Policy Optimization for Program Synthesis and Semantic Parsing,NIPS,2018,Journal,Program Synthesis,Thousands,Natural,non-Code,non-RepoMeta,non-I/O,Directed Graph,Natural Language,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,Unknown Method,Reward Policy,MAPO,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,no-Razor,no-miss-learning,over-dual,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,non-repro-regul,non-repro-EDA,ExDe,repro-Filter,non-NoRepo
Mining Likely Analogical APIs across Third-Party Libraries via Large-Scale Unsupervised API Semantics Embedding,TSE,2019,Journal,Source Code Retrieval & Traceability,Thousands,Dual-data,Program,Tabular,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,unsupervised,Encoder-Decoder,Grid Search,Gradient Descent,Unsupervised-Loss,Dual-metric,non-cover,MRR,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,Recall,non-F1,Replacing Expertise,EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,Reprod,LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,repro-regularization,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Neural Code Comprehension: A Learnable Representation of Code Semantics,NIPS,2018,Journal,Code Comprehension,Hundreds,Flow Graphs,Class,non-RepoMeta,non-I/O,Flow Graphs,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Understanding of the Topic,EDA,Razor,no-miss-learning,data-augmentation,non-o-tuning,non-o-custom,data-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Neural guided constraint logic programming for program synthesis,NIPS,2018,Technical,Program Synthesis,Thousands,I/O,non-Code,non-RepoMeta,I/O,Dual-process,non-Tokenization,RNN,I/O Vectors,supervised,GNN,Grid Search,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Neural program metainduction.,NIPS,2017,Technical,Program Synthesis,Thousands,Karel DSL,non-Code,non-RepoMeta,non-I/O,Execution Trace,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,Grid Search,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,no-EDA,Razor,no-miss-learning,cleaning,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,over-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Neural Program Synthesis from Diverse Demonstration Videos,ICML,2018,Technical,Program Synthesis,Thousands,Vision,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,Binary Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Replacing Expertise,no-EDA,no-Razor,miss-learning,cleaning,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,over-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Neural programmer-interpreters,ICLR,2015,Technical,Program Synthesis,Tens,Execution Traces,non-Code,non-RepoMeta,non-I/O,Execution Trace,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,Gradient Ascent,Max Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Solving Previously Unsolvable Problems,no-EDA,Razor,miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Neural sketch learning for conditional program generation,ICLR,2018,Journal,Program Synthesis,Thousands,Code,Dual-code,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,Cross-entropy,Distance-Based,non-cover,non-rank,non-alignment,approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,EDA,no-Razor,no-miss-learning,cross-validation,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,hold-out,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
Neural-augmented Static Analysis of Android Communication,FSE,2018,Journal,Software Security,Thousands,Code,Analytics-Graphical,non-RepoMeta,non-I/O,ic3,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,TDE,No Tunning,Gradient Descent,Cross-entropy,Dual-metric,non-cover,Kruskal,non-alignment,non-approx,RocOrAUC,non-Acc,non-Prec,non-Recall,F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,data-balancing,non-o-tuning,non-o-custom,non-augmentation,over-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Neural-guided deductive search for real-time program synthesis from examples,ICLR,2018,Technical,Program Synthesis,Thousands,I/O,non-Code,non-RepoMeta,I/O,Dual-process,non-Tokenization,RNN,I/O Vectors,supervised,RNN,No Tunning,Gradient Descent,Max Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,Razor,miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,ExDe,repro-Filter,NoRepo
Neuro-Symbolic Program Corrector for Introductory Programming Assignments,ICSE,2018,Journal,Program Repair,Thousands,Code,Snippets,non-RepoMeta,non-I/O,One Hot,Raw Code,non-NeuralEmb,non-IOVect,supervised,RNN,Grid Search,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Replacing Expertise,EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,repro-loss,non-Hyper,tvt,non-repro-embed,repro-regularization,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
On the Naturalness of Proofs,FSE,2018,Short Paper,Program Synthesis,Thousands,Code,Analytics-Graphical,non-RepoMeta,non-I/O,Tokenization,Natural Language,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,Negative Log Likelihood,Distance-Based,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Understanding of the Topic,EDA,Razor,no-miss-learning,batch-norm,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
Oreo: Detection of Clones in the Twilight Zone,FSE,2018,Journal,Clone Detection,Thousands,Code,Analytics-Graphical,non-RepoMeta,non-I/O,Code Metrics Vectors,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,Siamese,Grid Search,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,RocOrAUC,Acc,Prec,Recall,non-F1,Increased Automation / Efficiency,no-EDA,Razor,miss-learning,dropout,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Predicting and Evaluating Software Model Growth in the Automotive Industry,ICSME,2017,Technical,non-Code Related,Tens,Repo Metadata,non-Code,Tabular,non-I/O,Code Metrics Vectors,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,N/A-Learning,N/A-Loss,Approx Error,non-cover,non-rank,non-alignment,approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,tvt,repro-embed,repro-regularization,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Predicting Delivery Capability in Iterative Software Development,TSE,2017,Journal,non-Code Related,Thousands,Repo Metadata,non-Code,Issues,non-I/O,Issue Report Features,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,FNN,No Tunning,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Advanced Architecture / Novelty,EDA,Razor,miss-learning,dropout,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,non-Reprod,LearningAlg,repro-loss,Hyper,tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Predicting semantically linkable knowledge in developer online forums via convolutional neural network,ASE,2016,Technical,Developer Forum Analysis,Thousands,Natural,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,CNN,No Tunning,Gradient Descent,Cosine Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,l-regularization,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,over-regularization,non-o-large,replicable,non-Reprod,LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,NoRepo
Predicting the delay of issues with due dates in software projects,EMSE,2017,Journal,non-Code Related,Thousands,Repo Metadata,non-Code,Issues,non-I/O,Issue Report Features,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,FNN,No Tunning,Gradient Descent,N/A-Loss,Dual-metric,non-cover,non-rank,non-alignment,approx,RocOrAUC,non-Acc,Prec,Recall,F1,Increased Automation / Efficiency,EDA,Razor,miss-learning,dropout,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
