Title,Venue,Year published,Type of Paper,Other Metrics,MRR,ROC or AUC,BLEU Score,Accuracy,Precision,Recall,F1 Measure,Data-Scale,Tuning,Opt. Method,Learning-Algorithm,Loss Function,SE Task,Other SE Data,Repo Metadata,I/O Examples,Vision,Source Code,Natural Language,Data Preprocessing,Learning Type,Architectures,Automation Impact,Reproducible,Extraction Details,Preprocessing Details,Learning Algorithm,No Repo,Hyperparameters,Filtering Details
DWEN: Deep Word Embedding Network for Duplicate Bug Report Detection in Software Repositories,ICSE,2018,Abstract,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,Recall,non-F1,Thousands,Unknown Method,Unknown,Gradient Descent,N/A-Loss,Bug-Fixing,Bug Report,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Neural Embedding,supervised,FNN,Increased Automation / Efficiency,non-Reprod,ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
From UI Design Image to GUI Skeleton: A Neural Machine Translator to Bootstrap Mobile GUI Implementation,ICSE,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Unknown Method,Unknown,Gradient Descent,Max Log Likelihood,Image2Structure,N/A-Data,non-RepoMeta,non-I/O,Vision,non-Code,non-Natural,Neural Embedding,supervised,Encoder-Decoder,Replacing Expertise,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
DRLgencert: Deep Learning-Based Automated Testing of Certificate Verification in SSL/TLS Implementations,ICSME,2018,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Reward Policy,Custom Loss,Security,Certificates,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Lookup Tables,unsupervised,DRL,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
Compiler Fuzzing Through Deep Learning,ISSTA,2018,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Thousands,Manual,N/A-OptMethod,Gradient Descent,N/A-Loss,Testing,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,unsupervised,RNN,Increased Performance Over Predeccesor,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Deep Specification Mining,ISSTA,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,F1,Tens,N/A-Tuning,N/A-OptMethod,N/A-Learning,N/A-Loss,Code Comprenhension,Execution Traces,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Execution Trace,unsupervised,RNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,LearningAlg,non-NoRepo,non-Hyper,non-Filter
Sentiment Analysis for Software Engineering: How Far Can We Go?,ICSE,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,N/A-Learning,N/A-Loss,Forum Analysis,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,non-Natural,Tokenization,supervised,RNN,Increased Understanding of the Topic,non-Reprod,non-ExDe,Prep,LearningAlg,NoRepo,non-Hyper,non-Filter
Tree-to-tree neural networks for program translation,neurIPs,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,N/A-Learning,N/A-Loss,Program Translation,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Trees,supervised,Encoder-Decoder,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,LearningAlg,non-NoRepo,non-Hyper,Filter
VulSeeker: A Semantic Learning Based Vulnerability Seeker for Cross-platform Binary,ASE,2018,Short Paper,N/A-metrics,non-mrr,RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cosine Loss,Security & Clone Detection,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,IDA Pro,supervised,FNN,Increased Automation / Efficiency,non-Reprod,ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,Filter
?Diff: cross-version binary code similarity detection with DNN,ASE,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Constrastive Loss,Clone Detection,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,IDA Pro,supervised,Siamese,Increased Automation / Efficiency,non-Reprod,non-ExDe,Prep,non-LearningAlg,non-NoRepo,non-Hyper,Filter
Dynamic Neural Program Embedding for Program Repair,ICLR,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,N/A-Loss,Program Repair,Execution Traces,non-RepoMeta,non-I/O,non-Vision,non-Code,non-Natural,Neural Embedding,supervised,RNN,Replacing Expertise,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,Filter
Learning to represent programs with graphs,ICLR,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Tens,N/A-Tuning,N/A-OptMethod,N/A-Learning,N/A-Loss,Code Comprenhension,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,supervised,GNN,Replacing Expertise,non-Reprod,ExDe,non-Prep,LearningAlg,non-NoRepo,Hyper,non-Filter
Automatic Program Synthesis of Long Programs with a Learned Garbage Collector,neurIPs,2018,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cross-entropy,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,One Hot,supervised,FNN,Increased Performance Over Predeccesor,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,Hyper,non-Filter
Improving Neural Program Synthesis with Inferred Execution Traces,neurIPs,2018,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Descent,Max Log Likelihood,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,I/O Vectors,supervised,RNN,Increased Automation / Efficiency,non-Reprod,ExDe,non-Prep,non-LearningAlg,NoRepo,Hyper,Filter
Learning Libraries of Subroutines for Neurally–Guided Bayesian Program Induction,neurIPs,2018,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Hundreds,N/A-Tuning,N/A-OptMethod,Gradient Descent,Cross-entropy,Program Synthesis,N/A-Data,non-RepoMeta,I/O,non-Vision,non-Code,non-Natural,I/O Vectors,supervised,RNN,Solving Previously Unsolvable Problems,non-Reprod,non-ExDe,Prep,non-LearningAlg,NoRepo,Hyper,Filter
Learning loop invariants for program verification,neurIPs,2018,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Hundreds,Manual,N/A-OptMethod,Reward Policy,Actor Critic,Testing,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,reinforcement,GNN,Solving Previously Unsolvable Problems,non-Reprod,ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,Filter
Learning to infer graphics programs from hand-drawn images,neurIPs,2018,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,N/A-Tuning,N/A-OptMethod,Gradient Ascent,Surrogate Likelihood,Program Synthesis,N/A-Data,non-RepoMeta,non-I/O,Vision,non-Code,non-Natural,I/O Vectors,supervised,Transformer,Increased Automation / Efficiency,non-Reprod,non-ExDe,Prep,non-LearningAlg,non-NoRepo,Hyper,Filter
Learning to repair software vulnerabilities with generative adversarial networks,neurIPs,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Manual,N/A-OptMethod,Gradient Descent,Negative Log Likelihood,Program Repair,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,unsupervised,GANs,Replacing Expertise,non-Reprod,non-ExDe,Prep,non-LearningAlg,non-NoRepo,non-Hyper,Filter
Memory Augmented Policy Optimization for Program Synthesis and Semantic Parsing,neurIPs,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Unknown Method,Unknown,Reward Policy,MAPO,Program Synthesis,N/A-Data,non-RepoMeta,non-I/O,non-Vision,non-Code,Natural,Directed Graph,supervised,Encoder-Decoder,Advanced Architecture / Novelty,non-Reprod,ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,Filter
A deep learning model for estimating story points,TSE,2018,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Negative Log Likelihood,non-Code Related,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,non-Natural,Neural Embedding,supervised,RNN,Replacing Expertise,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Automatic feature learning for predicting vulnerable software components,TSE,2018,Journal Paper,N/A-metrics,non-mrr,RocOrAUC,non-BLEU,non-Acc,Prec,Recall,F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Negative Log Likelihood,Security,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Lookup Tables,supervised,RNN,Advanced Architecture / Novelty,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
Automating Intention Mining,TSE,2018,Journal Paper,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,F1,Thousands,Opt. Method,Custom,Gradient Descent,Cross-entropy,non-Code Related & Intention Mining,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,non-Natural,Neural Embedding,supervised,CNN,Increased Automation / Efficiency,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
How Well Do Change Sequences Predict Defects? Sequence Learning from Software Changes,TSE,2018,Journal Paper,metrics,non-mrr,RocOrAUC,non-BLEU,non-Acc,Prec,Recall,F1,Tens,Opt. Method,Grid Search,Gradient Descent,Cross-entropy,Reliability/Defect Prediction,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,non-Natural,CSSI,supervised,RNN,Increased Automation / Efficiency,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,Filter
Mining Fix Patterns for FindBugs Violations,TSE,2018,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,non-Prec,non-Recall,non-F1,Hundreds,Opt. Method,UI20,Gradient Descent,MSE,Program Repair,N/A-Data,Repo Metadata,non-I/O,non-Vision,non-Code,non-Natural,Neural Embedding,unsupervised,CNN,Increased Automation / Efficiency,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Deep learning similarities from different representations of source code,MSR,2018,Technical,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,Recall,F1,Tens,No Tunning,N/A-OptMethod,Gradient Descent,MSE,Clone Detection,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,Tokenization,unsupervised,Autoencoder,Advanced Architecture / Novelty,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
A deep learning approach to identifying source code in images and video,MSR,2018,Technical,N/A-metrics,non-mrr,non-RocOrAUC,non-BLEU,Acc,Prec,Recall,non-F1,Thousands,No Tunning,N/A-OptMethod,Gradient Descent,Max Log Likelihood,Image2Structure,N/A-Data,non-RepoMeta,non-I/O,Vision,non-Code,non-Natural,PyTube,supervised,CNN,Solving Previously Unsolvable Problems,non-Reprod,non-ExDe,non-Prep,non-LearningAlg,NoRepo,non-Hyper,non-Filter
Machine Learning-Based Prototyping of Graphical User Interfaces for Mobile Apps,TSE,2018,Journal Paper,metrics,non-mrr,non-RocOrAUC,non-BLEU,non-Acc,Prec,non-Recall,non-F1,Hundreds,Opt. Method,Custom,Gradient Descent,MSE,Image2Structure,N/A-Data,non-RepoMeta,non-I/O,Vision,non-Code,non-Natural,Neural Embedding,supervised,CNN,Increased Automation / Efficiency,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Maybe Deep Neural Networks are the Best Choice for Modeling Source Code,ArXiv,2019,Technical,N/A-metrics,mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,non-Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Cross-entropy,Source Code Generation,N/A-Data,non-RepoMeta,non-I/O,non-Vision,Code,non-Natural,BPE,supervised,RNN,Open Vocabulary Issue,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
Mining Likely Analogical APIs across Third-Party Libraries via Large-Scale Unsupervised API Semantics Embedding,TSE,2019,Journal Paper,N/A-metrics,mrr,non-RocOrAUC,non-BLEU,non-Acc,non-Prec,Recall,non-F1,Thousands,Opt. Method,Grid Search,Gradient Descent,Max Log Likelihood,Retrieval-Trace,N/A-Data,Repo Metadata,non-I/O,non-Vision,Code,non-Natural,Neural Embedding,unsupervised,Encoder-Decoder,Replacing Expertise,Reprod,non-ExDe,non-Prep,non-LearningAlg,non-NoRepo,non-Hyper,non-Filter
